Metric,Value
train_mean_losses,"[0.0235009  0.0165597  0.01318163 0.01144497 0.009607   0.01009545
 0.00848347 0.00738638 0.00680575 0.00618726 0.00643647 0.00578851
 0.00514794 0.00516362 0.00445458 0.00493522 0.00462691 0.00436998
 0.00416598 0.00423281 0.0043005  0.00395157 0.00376411 0.00380762
 0.00379266 0.00387294 0.00364908 0.00370232 0.00360079 0.00342018
 0.00368561 0.00349976 0.00336962 0.00341023 0.00323196 0.00333444
 0.00336592 0.00341311 0.00333414 0.00327234 0.00336397 0.00339264
 0.00340116 0.00322546 0.00326309 0.00296085 0.00359823 0.00309759
 0.00305946]"
train_mean_f1_scores,0.9943264284193318
train_mean_accuracies,0.9896249999999999
val_mean_losses,"[0.02015439 0.01833395 0.01879343 0.01944368 0.02255931 0.00622415
 0.00659645 0.00742697 0.00807612 0.00897473 0.00408318 0.00460755
 0.00516475 0.00594063 0.00687275 0.00205547 0.0023266  0.00260337
 0.002904   0.00306385 0.00259512 0.00293886 0.00329642 0.00371827
 0.00404185 0.00168696 0.00178876 0.00202371 0.00235993 0.00258731
 0.00172082 0.00194699 0.00208674 0.00223383 0.00248577 0.0014572
 0.00159849 0.00186054 0.00202663 0.00222138 0.00102831 0.00116842
 0.00127451 0.00129742 0.0013894  0.00170546 0.00183712 0.00205226
 0.00232436]"
val_mean_f1_scores,0.9909077711602666
val_mean_accuracies,0.9833333333333334
